group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,inter/5,,,55380464.0,ns,20
Performance,Naive,inter/5,,,52385872.0,ns,20
Performance,Naive,inter/5,,,49426426.0,ns,20
Performance,Naive,inter/5,,,48886768.0,ns,20
Performance,Naive,inter/5,,,48084384.0,ns,20
Performance,Naive,inter/5,,,52094634.0,ns,20
Performance,Naive,inter/5,,,47615927.0,ns,20
Performance,Naive,inter/5,,,43930580.0,ns,20
Performance,Naive,inter/5,,,46304362.0,ns,20
Performance,Naive,inter/5,,,45064410.0,ns,20
Performance,Naive,inter/5,,,44793186.0,ns,20
Performance,Naive,inter/5,,,43552570.0,ns,20
Performance,Naive,inter/5,,,43899348.0,ns,20
Performance,Naive,inter/5,,,46587999.0,ns,20
Performance,Naive,inter/5,,,47350079.0,ns,20
Performance,Naive,inter/5,,,44768407.0,ns,20
Performance,Naive,inter/5,,,42593373.0,ns,20
Performance,Naive,inter/5,,,44034684.0,ns,20
Performance,Naive,inter/5,,,44057315.0,ns,20
Performance,Naive,inter/5,,,43999362.0,ns,20
Performance,Naive,inter/5,,,44144081.0,ns,20
Performance,Naive,inter/5,,,42629762.0,ns,20
Performance,Naive,inter/5,,,43154431.0,ns,20
Performance,Naive,inter/5,,,44352047.0,ns,20
Performance,Naive,inter/5,,,42791617.0,ns,20
Performance,Naive,inter/5,,,48873693.0,ns,20
Performance,Naive,inter/5,,,49608194.0,ns,20
Performance,Naive,inter/5,,,47678307.0,ns,20
Performance,Naive,inter/5,,,45089994.0,ns,20
Performance,Naive,inter/5,,,60619401.0,ns,20
Performance,Naive,inter/5,,,52235835.0,ns,20
Performance,Naive,inter/5,,,47678158.0,ns,20
Performance,Naive,inter/5,,,52429682.0,ns,20
Performance,Naive,inter/5,,,54354151.0,ns,20
Performance,Naive,inter/5,,,52268293.0,ns,20
Performance,Naive,inter/5,,,53338196.0,ns,20
Performance,Naive,inter/5,,,46108147.0,ns,20
Performance,Naive,inter/5,,,46750421.0,ns,20
Performance,Naive,inter/5,,,52776916.0,ns,20
Performance,Naive,inter/5,,,45779493.0,ns,20
Performance,Naive,inter/5,,,45602615.0,ns,20
Performance,Naive,inter/5,,,42653715.0,ns,20
Performance,Naive,inter/5,,,43161370.0,ns,20
Performance,Naive,inter/5,,,43105794.0,ns,20
Performance,Naive,inter/5,,,43532746.0,ns,20
Performance,Naive,inter/5,,,46190592.0,ns,20
Performance,Naive,inter/5,,,44910673.0,ns,20
Performance,Naive,inter/5,,,46267294.0,ns,20
Performance,Naive,inter/5,,,48924813.0,ns,20
Performance,Naive,inter/5,,,44976165.0,ns,20
Performance,Naive,inter/5,,,79532739.0,ns,20
Performance,Naive,inter/5,,,80391432.0,ns,20
Performance,Naive,inter/5,,,59121911.0,ns,20
Performance,Naive,inter/5,,,48962238.0,ns,20
Performance,Naive,inter/5,,,45228579.0,ns,20
Performance,Naive,inter/5,,,46840164.0,ns,20
Performance,Naive,inter/5,,,52058620.0,ns,20
Performance,Naive,inter/5,,,49083751.0,ns,20
Performance,Naive,inter/5,,,47802855.0,ns,20
Performance,Naive,inter/5,,,45542917.0,ns,20
Performance,Naive,inter/5,,,48527845.0,ns,20
Performance,Naive,inter/5,,,48334620.0,ns,20
Performance,Naive,inter/5,,,49723429.0,ns,20
Performance,Naive,inter/5,,,44518701.0,ns,20
Performance,Naive,inter/5,,,47095972.0,ns,20
Performance,Naive,inter/5,,,42897584.0,ns,20
Performance,Naive,inter/5,,,46041039.0,ns,20
Performance,Naive,inter/5,,,48083593.0,ns,20
Performance,Naive,inter/5,,,51636772.0,ns,20
Performance,Naive,inter/5,,,46846585.0,ns,20
Performance,Naive,inter/5,,,44530631.0,ns,20
Performance,Naive,inter/5,,,51333997.0,ns,20
Performance,Naive,inter/5,,,45915612.0,ns,20
Performance,Naive,inter/5,,,44762219.0,ns,20
Performance,Naive,inter/5,,,43239841.0,ns,20
Performance,Naive,inter/5,,,43215111.0,ns,20
Performance,Naive,inter/5,,,42120662.0,ns,20
Performance,Naive,inter/5,,,42425245.0,ns,20
Performance,Naive,inter/5,,,46304198.0,ns,20
Performance,Naive,inter/5,,,44318832.0,ns,20
Performance,Naive,inter/5,,,46002859.0,ns,20
Performance,Naive,inter/5,,,42883868.0,ns,20
Performance,Naive,inter/5,,,44693733.0,ns,20
Performance,Naive,inter/5,,,44687550.0,ns,20
Performance,Naive,inter/5,,,43840358.0,ns,20
Performance,Naive,inter/5,,,42319133.0,ns,20
Performance,Naive,inter/5,,,44180915.0,ns,20
Performance,Naive,inter/5,,,43277862.0,ns,20
Performance,Naive,inter/5,,,44038541.0,ns,20
Performance,Naive,inter/5,,,43921594.0,ns,20
Performance,Naive,inter/5,,,44809113.0,ns,20
Performance,Naive,inter/5,,,42012620.0,ns,20
Performance,Naive,inter/5,,,44259127.0,ns,20
Performance,Naive,inter/5,,,44138657.0,ns,20
Performance,Naive,inter/5,,,42444226.0,ns,20
Performance,Naive,inter/5,,,48690726.0,ns,20
Performance,Naive,inter/5,,,47181984.0,ns,20
Performance,Naive,inter/5,,,43420882.0,ns,20
Performance,Naive,inter/5,,,43797871.0,ns,20
Performance,Naive,inter/5,,,43984601.0,ns,20
